nprocs, p, data_volume, runtime
512, 0.10, 16, 0.2267680168
512, 0.20, 16, 0.2267950376
512, 0.30, 16, 0.2496803602
512, 0.40, 16, 0.2648639679
512, 0.50, 16, 0.2920490106
512, 0.60, 16, 0.2822179794
512, 0.70, 16, 0.3143163522
512, 0.80, 16, 0.3185300032
512, 0.90, 16, 0.3420000076
1024, 0.10, 8, 0.1073416869
1024, 0.20, 8, 0.1503109932
1024, 0.30, 8, 0.1246296565
1024, 0.40, 8, 0.1312249502
1024, 0.50, 8, 0.1374739806
1024, 0.60, 8, 0.1468489965
1024, 0.70, 8, 0.1568870544
1024, 0.80, 8, 0.1675279935
1024, 0.90, 8, 0.1755303542
1024, 0.10, 16, 0.2510336240
1024, 0.20, 16, 0.2502756914
1024, 0.30, 16, 0.3391013145
1024, 0.40, 16, 0.2626703580
1024, 0.50, 16, 0.2786546548
1024, 0.60, 16, 0.2698126634
1024, 0.70, 16, 0.2960263093
1024, 0.80, 16, 0.3159600099
1024, 0.90, 16, 0.3185603619
2048, 0.10, 8, 0.1196956635
2048, 0.20, 8, 0.1226159732
2048, 0.30, 8, 0.1291442712
2048, 0.40, 8, 0.1308670044
2048, 0.50, 8, 0.1413166523
2048, 0.60, 8, 0.1537403266
2048, 0.70, 8, 0.1608386834
2048, 0.80, 8, 0.1730076472
2048, 0.90, 8, 0.1871036688
2048, 0.10, 16, 0.2865110238
2048, 0.20, 16, 0.3069256941
2048, 0.30, 16, 0.2688813210
2048, 0.40, 16, 0.2742249966
2048, 0.50, 16, 0.3160626888
2048, 0.60, 16, 0.2996069590
2048, 0.70, 16, 0.3302369912
2048, 0.80, 16, 0.3395566940
2048, 0.90, 16, 0.3223470052
4096, 0.10, 8, 0.1170450052
4096, 0.20, 8, 0.1226906776
4096, 0.30, 8, 0.1265770594
4096, 0.40, 8, 0.1298367182
4096, 0.50, 8, 0.1438369751
4096, 0.60, 8, 0.1475263437
4096, 0.70, 8, 0.1508270105
4096, 0.80, 8, 0.1617006461
4096, 0.90, 8, 0.1668349902
4096, 0.10, 16, 0.2832656701
4096, 0.20, 16, 0.2774422963
4096, 0.30, 16, 0.3480723699
4096, 0.40, 16, 0.2975166639
4096, 0.50, 16, 0.2941106160
4096, 0.60, 16, 0.3011436462
4096, 0.70, 16, 0.3032103380
4096, 0.80, 16, 0.3181113402
4096, 0.90, 16, 0.3425376415
8192, 0.10, 8, 0.1371756395
8192, 0.20, 8, 0.1379686991
8192, 0.30, 8, 0.1407170296
8192, 0.40, 8, 0.1445353826
8192, 0.50, 8, 0.1550480525
8192, 0.60, 8, 0.1627933979
8192, 0.70, 8, 0.1643570264
8192, 0.80, 8, 0.1715903282
8192, 0.90, 8, 0.1755346457
8192, 0.10, 16, 0.2912129561
8192, 0.20, 16, 0.2718597253
8192, 0.30, 16, 0.2664650281
8192, 0.40, 16, 0.2752730052
8192, 0.50, 16, 0.3017376264
8192, 0.60, 16, 0.3048056761
8192, 0.70, 16, 0.3199717204
8192, 0.80, 16, 0.3226739566
8192, 0.90, 16, 0.3590509892
16384, 0.10, 8, 0.1697890759
16384, 0.20, 8, 0.2037449678
16384, 0.30, 8, 0.1977690061
16384, 0.40, 8, 0.1831256549
16384, 0.50, 8, 0.1803873380
16384, 0.60, 8, 0.1899136702
16384, 0.70, 8, 0.1957849662
16384, 0.80, 8, 0.1854543686
16384, 0.90, 8, 0.2136223316
16384, 0.10, 16, 0.3275899887
16384, 0.20, 16, 0.3622032801
16384, 0.30, 16, 0.3551593622
16384, 0.40, 16, 0.3536767165
16384, 0.50, 16, 0.3495466709
16384, 0.60, 16, 0.3438546658
16384, 0.70, 16, 0.4111326536
16384, 0.80, 16, 0.3750276566
16384, 0.90, 16, 0.3755119642
32768, 0.10, 8, 0.1946679751
32768, 0.20, 8, 0.2052223682
32768, 0.30, 8, 0.1848239899
32768, 0.40, 8, 0.2079363664
32768, 0.50, 8, 0.2290400664
32768, 0.60, 8, 0.2014540037
32768, 0.70, 8, 0.2196953297
32768, 0.80, 8, 0.2128176689
32768, 0.90, 8, 0.2338539759
32768, 0.10, 16, 0.5744872888
32768, 0.20, 16, 0.5202366511
32768, 0.30, 16, 0.4007283052
32768, 0.40, 16, 0.3579440117
32768, 0.50, 16, 0.3788683414
32768, 0.60, 16, 0.4015916983
32768, 0.70, 16, 0.4518830776
32768, 0.80, 16, 0.4032949607
32768, 0.90, 16, 0.4340589841
64, 0.10, 0.001000, 0.0005517006
64, 0.20, 0.001000, 0.0008296967
64, 0.30, 0.001000, 0.0011536280
64, 0.40, 0.001000, 0.0014443398
64, 0.50, 0.001000, 0.0012849967
64, 0.60, 0.001000, 0.0021333694
64, 0.70, 0.001000, 0.0015583038
64, 0.80, 0.001000, 0.0023527145
64, 0.90, 0.001000, 0.0022863547
128, 0.10, 0.001000, 0.0015887976
128, 0.20, 0.001000, 0.0006932020
128, 0.30, 0.001000, 0.0005825043
128, 0.40, 0.001000, 0.0005585194
128, 0.50, 0.001000, 0.0005687952
128, 0.60, 0.001000, 0.0005754948
